name,price,change,change_rate,volume,trading_value,market_cap
삼성전자,"269,000",하락 500,-0.19%,"21,010,910","5,629,002","15,726,489"
SK하이닉스,"1,853,000","하락 3,000",-0.16%,"4,375,585","8,098,756","13,536,024"
SK스퀘어,"1,135,000","하락 3,000",-0.26%,"540,428","611,107","1,497,337"
삼성전기,"1,400,000","하락 4,000",-0.28%,"551,943","761,364","1,045,712"
LG에너지솔루션,"365,000","하락 6,000",-1.62%,"404,580","147,573","854,100"
현대차,"389,000","상승 1,000",+0.26%,"600,281","232,456","796,508"
삼성바이오로직스,"1,423,000","하락 29,000",-2.00%,"60,397","85,979","658,720"
삼성생명,"309,500","상승 6,000",+1.98%,"430,627","132,316","619,000"
삼성물산,"379,500","상승 3,500",+0.93%,"470,107","176,095","615,426"
KB금융,"173,400","상승 1,400",+0.81%,"1,305,951","226,139","615,029"
